Title,Link
حضور نمازگزاران البرزی در راهپیمایی خونخواهی رهبر شهید و تشییع شهدا,/news/6767138/%D8%AD%D8%B6%D9%88%D8%B1-%D9%86%D9%85%D8%A7%D8%B2%DA%AF%D8%B2%D8%A7%D8%B1%D8%A7%D9%86-%D8%A7%D9%84%D8%A8%D8%B1%D8%B2%DB%8C-%D8%AF%D8%B1-%D8%B1%D8%A7%D9%87%D9%BE%DB%8C%D9%85%D8%A7%DB%8C%DB%8C-%D8%AE%D9%88%D9%86%D8%AE%D9%88%D8%A7%D9%87%DB%8C-%D8%B1%D9%87%D8%A8%D8%B1-%D8%B4%D9%87%DB%8C%D8%AF-%D9%88-%D8%AA%D8%B4%DB%8C%DB%8C%D8%B9
وضعیت فعالیت دستگاه‌های اجرایی، دانشگاه‌ها و مدارس آذربایجان ‌غربی,/news/6767136/%D9%88%D8%B6%D8%B9%DB%8C%D8%AA-%D9%81%D8%B9%D8%A7%D9%84%DB%8C%D8%AA-%D8%AF%D8%B3%D8%AA%DA%AF%D8%A7%D9%87-%D9%87%D8%A7%DB%8C-%D8%A7%D8%AC%D8%B1%D8%A7%DB%8C%DB%8C-%D8%AF%D8%A7%D9%86%D8%B4%DA%AF%D8%A7%D9%87-%D9%87%D8%A7-%D9%88-%D9%85%D8%AF%D8%A7%D8%B1%D8%B3-%D8%A2%D8%B0%D8%B1%D8%A8%D8%A7%DB%8C%D8%AC%D8%A7%D9%86
اتحاد و وحدت کلید موفقیت است,/news/6767126/%D8%A7%D8%AA%D8%AD%D8%A7%D8%AF-%D9%88-%D9%88%D8%AD%D8%AF%D8%AA-%DA%A9%D9%84%DB%8C%D8%AF-%D9%85%D9%88%D9%81%D9%82%DB%8C%D8%AA-%D8%A7%D8%B3%D8%AA
زخمی شدن پسر «اسموتریچ» در حمله حزب الله,/news/6767139/%D8%B2%D8%AE%D9%85%DB%8C-%D8%B4%D8%AF%D9%86-%D9%BE%D8%B3%D8%B1-%D8%A7%D8%B3%D9%85%D9%88%D8%AA%D8%B1%DB%8C%DA%86-%D8%AF%D8%B1-%D8%AD%D9%85%D9%84%D9%87-%D8%AD%D8%B2%D8%A8-%D8%A7%D9%84%D9%84%D9%87
کاشت نهال از مهم‌ترین راه‌های حفاظت از آب و خاک است,/news/6767130/%DA%A9%D8%A7%D8%B4%D8%AA-%D9%86%D9%87%D8%A7%D9%84-%D8%A7%D8%B2-%D9%85%D9%87%D9%85-%D8%AA%D8%B1%DB%8C%D9%86-%D8%B1%D8%A7%D9%87-%D9%87%D8%A7%DB%8C-%D8%AD%D9%81%D8%A7%D8%B8%D8%AA-%D8%A7%D8%B2-%D8%A2%D8%A8-%D9%88-%D8%AE%D8%A7%DA%A9-%D8%A7%D8%B3%D8%AA
استاندار تهران: ۵ هزار تن میوه برای شب عید ذخیره شده است,/news/6767133/%D8%A7%D8%B3%D8%AA%D8%A7%D9%86%D8%AF%D8%A7%D8%B1-%D8%AA%D9%87%D8%B1%D8%A7%D9%86-%DB%B5-%D9%87%D8%B2%D8%A7%D8%B1-%D8%AA%D9%86-%D9%85%DB%8C%D9%88%D9%87-%D8%A8%D8%B1%D8%A7%DB%8C-%D8%B4%D8%A8-%D8%B9%DB%8C%D8%AF-%D8%B0%D8%AE%DB%8C%D8%B1%D9%87-%D8%B4%D8%AF%D9%87-%D8%A7%D8%B3%D8%AA
حضور حماسی مردم در صحنه رفراندوم حمایت از نظام انقلاب اسلامی است,/news/6767122/%D8%AD%D8%B6%D9%88%D8%B1-%D8%AD%D9%85%D8%A7%D8%B3%DB%8C-%D9%85%D8%B1%D8%AF%D9%85-%D8%AF%D8%B1-%D8%B5%D8%AD%D9%86%D9%87-%D8%B1%D9%81%D8%B1%D8%A7%D9%86%D8%AF%D9%88%D9%85-%D8%AD%D9%85%D8%A7%DB%8C%D8%AA-%D8%A7%D8%B2-%D9%86%D8%B8%D8%A7%D9%85-%D8%A7%D9%86%D9%82%D9%84%D8%A7%D8%A8-%D8%A7%D8%B3%D9%84%D8%A7%D9%85%DB%8C
قاضی‌زاده هاشمی: باید با حامیان داخلی دشمن قاطعانه برخورد شود,/news/6767128/%D9%82%D8%A7%D8%B6%DB%8C-%D8%B2%D8%A7%D8%AF%D9%87-%D9%87%D8%A7%D8%B4%D9%85%DB%8C-%D8%A8%D8%A7%DB%8C%D8%AF-%D8%A8%D8%A7-%D8%AD%D8%A7%D9%85%DB%8C%D8%A7%D9%86-%D8%AF%D8%A7%D8%AE%D9%84%DB%8C-%D8%AF%D8%B4%D9%85%D9%86-%D9%82%D8%A7%D8%B7%D8%B9%D8%A7%D9%86%D9%87-%D8%A8%D8%B1%D8%AE%D9%88%D8%B1%D8%AF-%D8%B4%D9%88%D8%AF
امام جمعه موقت اهل سنت چاه‌مبارک: دشمن به خواسته خود نمی‌رسد,/news/6767124/%D8%A7%D9%85%D8%A7%D9%85-%D8%AC%D9%85%D8%B9%D9%87-%D9%85%D9%88%D9%82%D8%AA-%D8%A7%D9%87%D9%84-%D8%B3%D9%86%D8%AA-%DA%86%D8%A7%D9%87-%D9%85%D8%A8%D8%A7%D8%B1%DA%A9-%D8%AF%D8%B4%D9%85%D9%86-%D8%A8%D9%87-%D8%AE%D9%88%D8%A7%D8%B3%D8%AA%D9%87-%D8%AE%D9%88%D8%AF-%D9%86%D9%85%DB%8C-%D8%B1%D8%B3%D8%AF
خروش قم در حمایت از انقلاب؛راهپیمایی گسترده نمازگزاران در دفاع از کشور,/news/6767125/%D8%AE%D8%B1%D9%88%D8%B4-%D9%82%D9%85-%D8%AF%D8%B1-%D8%AD%D9%85%D8%A7%DB%8C%D8%AA-%D8%A7%D8%B2-%D8%A7%D9%86%D9%82%D9%84%D8%A7%D8%A8-%D8%B1%D8%A7%D9%87%D9%BE%DB%8C%D9%85%D8%A7%DB%8C%DB%8C-%DA%AF%D8%B3%D8%AA%D8%B1%D8%AF%D9%87-%D9%86%D9%85%D8%A7%D8%B2%DA%AF%D8%B2%D8%A7%D8%B1%D8%A7%D9%86-%D8%AF%D8%B1-%D8%AF%D9%81%D8%A7%D8%B9
آزادی‌خواه: تصمیم مجلس خبرگان درباره رهبر آینده فصل‌الخطاب است,/news/6767121/%D8%A2%D8%B2%D8%A7%D8%AF%DB%8C-%D8%AE%D9%88%D8%A7%D9%87-%D8%AA%D8%B5%D9%85%DB%8C%D9%85-%D9%85%D8%AC%D9%84%D8%B3-%D8%AE%D8%A8%D8%B1%DA%AF%D8%A7%D9%86-%D8%AF%D8%B1%D8%A8%D8%A7%D8%B1%D9%87-%D8%B1%D9%87%D8%A8%D8%B1-%D8%A2%DB%8C%D9%86%D8%AF%D9%87-%D9%81%D8%B5%D9%84-%D8%A7%D9%84%D8%AE%D8%B7%D8%A7%D8%A8-%D8%A7%D8%B3%D8%AA
آیت‌الله عاملی: شهادت رهبر انقلاب، دشمن را ناامید و ملت را متحد کرد,/news/6767078/%D8%A2%DB%8C%D8%AA-%D8%A7%D9%84%D9%84%D9%87-%D8%B9%D8%A7%D9%85%D9%84%DB%8C-%D8%B4%D9%87%D8%A7%D8%AF%D8%AA-%D8%B1%D9%87%D8%A8%D8%B1-%D8%A7%D9%86%D9%82%D9%84%D8%A7%D8%A8-%D8%AF%D8%B4%D9%85%D9%86-%D8%B1%D8%A7-%D9%86%D8%A7%D8%A7%D9%85%DB%8C%D8%AF-%D9%88-%D9%85%D9%84%D8%AA-%D8%B1%D8%A7-%D9%85%D8%AA%D8%AD%D8%AF
